@relation R_data_frame

@attribute COLORC {DOJI,DOWN,UP}
@attribute MTREND_130 {DOWN,UP}
@attribute MTREND_20 {DOWN,UP}
@attribute D numeric
@attribute TH numeric
@attribute TM numeric
@attribute TYPEWIN_5M string
@attribute WINCALL_5M numeric
@attribute TYPEWIN_15M string
@attribute WINCALL_15M numeric

@data
UP,DOWN,DOWN,3,3,29,WINPUT,0,WINPUT,0
UP,DOWN,DOWN,3,3,30,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,3,31,WINPUT,0,WINPUT,0
UP,DOWN,DOWN,3,3,32,WINPUT,0,WINPUT,0
DOJI,DOWN,DOWN,3,3,33,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,3,34,WINPUT,0,WINPUT,0
UP,DOWN,DOWN,3,3,35,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,3,36,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,3,37,WINPUT,0,WINPUT,0
UP,DOWN,DOWN,3,3,38,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,3,39,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,3,40,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,3,41,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,3,42,WINCALL,1,WINPUT,0
UP,DOWN,DOWN,3,3,43,WINCALL,1,WINPUT,0
DOWN,DOWN,DOWN,3,3,44,WINCALL,1,WINPUT,0
DOWN,DOWN,DOWN,3,3,45,WINCALL,1,WINCALL,1
DOWN,DOWN,DOWN,3,3,46,WINPUT,0,WINCALL,1
UP,DOWN,DOWN,3,3,47,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,3,48,WINPUT,0,WINCALL,1
DOWN,DOWN,DOWN,3,3,49,WINPUT,0,WINCALL,1
DOWN,DOWN,DOWN,3,3,50,WINPUT,0,WINCALL,1
DOWN,DOWN,DOWN,3,3,51,WINPUT,0,WINCALL,1
UP,DOWN,DOWN,3,3,52,WINPUT,0,WINCALL,1
DOWN,DOWN,DOWN,3,3,53,WINPUT,0,WINCALL,1
DOWN,DOWN,DOWN,3,3,54,WINCALL,1,WINCALL,1
DOJI,DOWN,DOWN,3,3,55,WINCALL,1,WINCALL,1
UP,DOWN,DOWN,3,3,56,WINCALL,1,WINCALL,1
UP,DOWN,DOWN,3,3,57,WINCALL,1,WINCALL,1
UP,DOWN,DOWN,3,3,58,WINCALL,1,WINCALL,1
UP,DOWN,DOWN,3,3,59,WINCALL,1,WINCALL,1
UP,DOWN,DOWN,3,4,0,WINCALL,1,WINCALL,1
UP,DOWN,UP,3,4,1,WINCALL,1,WINCALL,1
DOWN,DOWN,UP,3,4,2,WINCALL,1,WINCALL,1
UP,DOWN,UP,3,4,3,WINCALL,1,WINCALL,1
DOWN,DOWN,UP,3,4,4,WINCALL,1,WINPUT,0
UP,DOWN,UP,3,4,5,WINPUT,0,WINPUT,0
UP,DOWN,UP,3,4,6,WINPUT,0,WINPUT,0
DOWN,DOWN,UP,3,4,7,WINPUT,0,WINPUT,0
DOWN,DOWN,UP,3,4,8,WINPUT,0,WINPUT,0
UP,DOWN,UP,3,4,9,WINPUT,0,WINPUT,0
